BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
BZBSC3;COMMERCIAL;COMERC7;4;13 067;13;"15°16'39,08""E";"4°16'41,86""S"
BZBSC3;COMMERCIAL;COMERC8;4;13 068;13;"15°16'39,08""E";"4°16'41,86""S"
BZBSC3;COMMERCIAL;COMERC9;4;13 069;13;"15°16'39,08""E";"4°16'41,86""S"
PNBSC1;COTEMATEV;MATEV1;4;21 451;21;"11°55'30""E";"4°52'31""S"
PNBSC1;COTEMATEV;MATEV2;4;21 452;21;"11°55'30""E";"4°52'31""S"
PNBSC1;COTEMATEV;MATEV3;4;21 453;21;"11°55'30""E";"4°52'31""S"
PNBSC1;COTEMATEV;MATEV7;4;21 457;21;"11°55'30""E";"4°52'31""S"
PNBSC1;COTEMATEV;MATEV8;4;21 458;21;"11°55'30""E";"4°52'31""S"
PNBSC1;COTEMATEV;MATEV9;4;21 459;21;"11°55'30""E";"4°52'31""S"
BZBSC1;DIATA1;DIATA11;4;11 121;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA1;DIATA12;2;11 122;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA1;DIATA13;4;11 123;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA1;DIATA17;2;11 127;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA1;DIATA18;4;11 128;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA1;DIATA19;4;11 129;11;"15°14'39,01""E";"4°16'23,05""S"
BZBSC1;DIATA2;DIATA21;4;11 431;11;"15°14'19,43""E";"4°16'22,69""S"
BZBSC1;DIATA2;DIATA22;2;11 432;11;"15°14'19,43""E";"4°16'22,69""S"
BZBSC1;DIATA2;DIATA23;4;11 433;11;"15°14'19,43""E";"4°16'22,69""S"
BZBSC1;DIATA2;DIATA27;4;11 437;11;"15°14'19,43""E";"4°16'22,69""S"
BZBSC1;DIATA2;DIATA28;4;11 438;11;"15°14'19,43""E";"4°16'22,69""S"
BZBSC1;DIATA2;DIATA29;4;11 439;11;"15°14'19,43""E";"4°16'22,69""S"
PNBSC3;DIOSSO;DIOSSO1;2;23 321;23;"11°50'30,7""E";"4°37'59,8""S"
PNBSC3;DIOSSO;DIOSSO2;4;23 322;23;"11°50'30,7""E";"4°37'59,8""S"
PNBSC3;DIOSSO;DIOSSO3;4;23 323;23;"11°50'30,7""E";"4°37'59,8""S"
PNBSC2;DIVENIE;DIVENI1;2;22 051;22;"12°1'25""E";"2°42'36,2""S"
PNBSC2;DIVENIE;DIVENI2;2;22 052;22;"12°1'25""E";"2°42'36,2""S"
PNBSC2;DIVENIE;DIVENI3;2;22 053;22;"12°1'25""E";"2°42'36,2""S"
BZBSC2;DJAMBALA;DJAMBA1;4;12 401;12;"14°45'18,5""E";"2°32'28,3""S"
BZBSC2;DJAMBALA;DJAMBA2;2;12 402;12;"14°45'18,5""E";"2°32'28,3""S"
BZBSC2;DJAMBALA;DJAMBA3;2;12 403;12;"14°45'18,5""E";"2°32'28,3""S"
PNBSC1;DJENO;DJENNO1;4;21 341;21;"11°56'31,42""E";"4°54'31,64""S"
PNBSC1;DJENO;DJENNO2;4;21 342;21;"11°56'31,42""E";"4°54'31,64""S"
PNBSC1;DJENO;DJENNO3;2;21 343;21;"11°56'31,42""E";"4°54'31,64""S"
BZBSC3;DJIRI;DJIRI11;4;13 331;13;"15°20'26,92""E";"4°9'10,01""S"
BZBSC3;DJIRI;DJIRI12;2;13 332;13;"15°20'26,92""E";"4°9'10,01""S"
BZBSC3;DJIRI;DJIRI13;4;13 333;13;"15°20'26,92""E";"4°9'10,01""S"
BZBSC1;DJOUEBRIDGE;DJOUEB1;2;11 721;11;"15°13'21,6""E";"4°18'33,3""S"
BZBSC1;DJOUEBRIDGE;DJOUEB2;2;11 722;11;"15°13'21,6""E";"4°18'33,3""S"
BZBSC1;DJOUEBRIDGE;DJOUEB3;2;11 723;11;"15°13'21,6""E";"4°18'33,3""S"
BZBSC1;DJOUEBRIDGE;DJOUEB7;4;11 727;11;"15°13'21,6""E";"4°18'33,3""S"
BZBSC1;DJOUEBRIDGE;DJOUEB8;4;11 728;11;"15°13'21,6""E";"4°18'33,3""S"
BZBSC1;DJOUEBRIDGE;DJOUEB9;4;11 729;11;"15°13'21,6""E";"4°18'33,3""S"
PNBSC2;DOLISIE1;DOLIZ11;4;22 071;22;"12°41'49,53""E";"4°11'10,02""S"
PNBSC2;DOLISIE1;DOLIZ12;4;22 072;22;"12°41'49,53""E";"4°11'10,02""S"
PNBSC2;DOLISIE1;DOLIZ13;4;22 073;22;"12°41'49,53""E";"4°11'10,02""S"
PNBSC2;DOLISIE1;DOLIZ18;4;22 078;22;"12°41'49,53""E";"4°11'10,02""S"
PNBSC2;DOLISIE1;DOLIZ19;4;22 079;22;"12°41'49,53""E";"4°11'10,02""S"
PNBSC2;DOLISIE2;DOLIZ21;4;22 081;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE2;DOLIZ22;4;22 082;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE2;DOLIZ23;4;22 083;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE2;DOLIZ27;4;22 087;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE2;DOLIZ28;4;22 088;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE2;DOLIZ29;4;22 089;22;"12°40'15,76""E";"4°12'3,59""S"
PNBSC2;DOLISIE3;DOLIZ31;4;22 131;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE3;DOLIZ32;4;22 132;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE3;DOLIZ33;4;22 133;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE3;DOLIZ37;4;22 137;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE3;DOLIZ38;4;22 138;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE3;DOLIZ39;4;22 139;22;"12°41'30,48""E";"4°12'56,99""S"
PNBSC2;DOLISIE4;DOLIZ41;4;22 191;22;"12°39'37,08""E";"4°10'19,81""S"
PNBSC2;DOLISIE4;DOLIZ42;4;22 192;22;"12°39'37,08""E";"4°10'19,81""S"
PNBSC2;DOLISIE4;DOLIZ43;4;22 193;22;"12°39'37,08""E";"4°10'19,81""S"
