BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
PNBSC2;KAKAMOUEKA;MOUEKA1;2;22 961;22;"12°3'49,32""E";"4°7'52,28""S"
PNBSC2;KAKAMOUEKA;MOUEKA2;2;22 962;22;"12°3'49,32""E";"4°7'52,28""S"
PNBSC2;KAKAMOUEKA;MOUEKA3;2;22 963;22;"12°3'49,32""E";"4°7'52,28""S"
BZBSC2;KEBARA;KBARA1;2;12 001;12;"14°25'15,96""E";"2°27'1,12""S"
BZBSC2;KEBARA;KBARA2;2;12 002;12;"14°25'15,96""E";"2°27'1,12""S"
BZBSC2;KEBARA;KBARA3;2;12 003;12;"14°25'15,96""E";"2°27'1,12""S"
BZBSC2;KEBILI;KBILI1;2;12 121;12;"14°30'32,3""E";"0°52'12,8""S"
BZBSC2;KEBILI;KBILI2;2;12 122;12;"14°30'32,3""E";"0°52'12,8""S"
BZBSC2;KEBILI;KBILI3;2;12 123;12;"14°30'32,3""E";"0°52'12,8""S"
BZBSC2;KELLE;KELE1;2;12 141;12;"14°33'17,5""E";"0°6'20,7""S"
BZBSC2;KELLE;KELE2;2;12 142;12;"14°33'17,5""E";"0°6'20,7""S"
BZBSC2;KENGUE;KENGUE1;2;15 031;15;"13°52'5,16""E";"3°7'50,99""S"
BZBSC2;KENGUE;KENGUE2;2;15 032;15;"13°52'5,16""E";"3°7'50,99""S"
BZBSC2;KENGUE;KENGUE3;2;15 033;15;"13°52'5,16""E";"3°7'50,99""S"
BZBSC2;KIANI;KIANI1;2;12 461;12;"15°35'48,4""E";"3°13'34,6""S"
BZBSC2;KIANI;KIANI2;2;12 462;12;"15°35'48,4""E";"3°13'34,6""S"
BZBSC2;KIANI;KIANI3;2;12 463;12;"15°35'48,4""E";"3°13'34,6""S"
BZBSC2;KIBAMBA;KIBABA1;2;15 901;15;"14°4'1,2""E";"3°49'0,08""S"
