MO;MO;Site_Name;LAC;BCCH ;TCH_Available_For_Voice;FPDCH;Net_TRXs_Available;LAT;LONG
35682;35682;VOUKA LEK;413;78;16;1;2;-4,66980600;14,67013900
35683;35683;VOUKA LEK;413;72;16;1;2;-4,66980600;14,67013900
25241;25241;VOUNDA;612;63;8;1;1;-3,64662500;12,17970800
25242;25242;VOUNDA;612;65;8;1;1;-3,64662500;12,17970800
25243;25243;VOUNDA;612;79;8;1;1;-3,64662500;12,17970800
10161;10161;VOUNGOU11;901;68;32;2;4;-4,79541667;11,90850000
10162;10162;VOUNGOU12;901;74;24;1;3;-4,79541667;11,90850000
10163;10163;VOUNGOU13;901;77;32;2;4;-4,79541667;11,90850000
10164;10164;VOUNGOU14;901;608;48;4;6;-4,79541667;11,90850000
10165;10165;VOUNGOU15;901;595;56;4;7;-4,79541667;11,90850000
10166;10166;VOUNGOU16;901;593;56;4;7;-4,79541667;11,90850000
10721;10721;VOUNGOU21;901;67;16;1;2;-4,80402778;11,90980556
10722;10722;VOUNGOU22;901;78;16;1;2;-4,80402778;11,90980556
10723;10723;VOUNGOU23;901;80;16;1;2;-4,80402778;11,90980556
10724;10724;VOUNGOU24;901;600;16;1;2;-4,80402778;11,90980556
10725;10725;VOUNGOU25;901;604;16;1;2;-4,80402778;11,90980556
10726;10726;VOUNGOU26;901;610;16;1;2;-4,80402778;11,90980556
35481;35481;VOUNGOUTA;413;75;8;1;1;-4,39488900;14,54883300
35482;35482;VOUNGOUTA;413;64;16;1;2;-4,39488900;14,54883300
35483;35483;VOUNGOUTA;413;62;16;1;2;-4,39488900;14,54883300
30021;30021;YAMBA;107;67;16;1;2;-4,17711100;13,92436100
30022;30022;YAMBA;107;77;16;1;2;-4,17711100;13,92436100
30023;30023;YAMBA;107;75;24;1;3;-4,17711100;13,92436100
35501;35501;YANGA DIA ZEBA;413;63;16;1;2;-4,73364700;14,40621700
35502;35502;YANGA DIA ZEBA;413;76;8;1;1;-4,73364700;14,40621700
35503;35503;YANGA DIA ZEBA;413;67;8;1;1;-4,73364700;14,40621700
25231;25231;YAYA;108;66;8;1;1;-3,13272200;12,90542200
25232;25232;YAYA;108;78;8;1;1;-3,13272200;12,90542200
25233;25233;YAYA;108;76;8;1;1;-3,13272200;12,90542200
C00251;251;YORO-1;200;73;44;2;6;-4,24598120;15,30146030
C00252;252;YORO-2;200;76;60;2;8;-4,24598120;15,30146030
25011;25011;YOULOUNGUETE;109;71;24;2;3;-4,18686100;12,69736100
25012;25012;YOULOUNGUETE;109;68;24;2;3;-4,18686100;12,69736100
25013;25013;YOULOUNGUETE;109;74;32;2;4;-4,18686100;12,69736100
40021;40021;ZANAGA;108;68;16;1;2;-2,84988100;13,82068300
40022;40022;ZANAGA;108;66;16;1;2;-2,84988100;13,82068300
40023;40023;ZANAGA;108;72;16;1;2;-2,84988100;13,82068300
