Longitude;Latitude
14,45,18.5;2,32,28.3
14,45,18.5;2,32,28.3
11,56,31.42;4,54,31.64
11,56,31.42;4,54,31.64
11,56,31.42;4,54,31.64
15,20,26.92;4,9,10.01
15,20,26.92;4,9,10.01
15,20,26.92;4,9,10.01
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
15,13,21.6;4,18,33.3
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,41,49.53;4,11,10.02
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,40,15.76;4,12,3.59
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,41,30.48;4,12,56.99
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
12,39,37.08;4,10,19.81
18,3,0.72;"2,2,46.28""N"
18,3,0.72;"2,2,46.28""N"
18,3,0.72;"2,2,46.28""N"
15,16,46.9;"1,35,18.2""N"
15,16,46.9;"1,35,18.2""N"
15,47,39.2;"1,12,25.1""N"
15,47,39.2;"1,12,25.1""N"
15,47,39.2;"1,12,25.1""N"
12,13,28.3;4,25,5.8
12,13,28.3;4,25,5.8
12,13,28.3;4,25,5.8
12,47,4.4;2,10,27.3
12,47,4.4;2,10,27.3
12,47,4.4;2,10,27.3
11,40,23.7;4,13,29.7
11,40,23.7;4,13,29.7
11,40,23.7;4,13,29.7
15,17,37.78;4,14,12.55
15,17,37.78;4,14,12.55
15,17,37.78;4,14,12.55
15,17,19.54;4,16,16.1
15,17,19.54;4,16,16.1
15,17,19.54;4,16,16.1
15,17,19.54;4,16,16.1
15,17,19.54;4,16,16.1
15,17,19.54;4,16,16.1
15,57,8.6;1,6,39.4
15,57,8.6;1,6,39.4
15,57,8.6;1,6,39.4
11,51,16.9;4,46,50.2
11,51,16.9;4,46,50.2
11,51,16.9;4,46,50.2
11,51,16.9;4,46,50.2
11,51,16.9;4,46,50.2
11,51,16.9;4,46,50.2
15,55,0.12;2,30,0
15,55,0.12;2,30,0
17,27,32.04;"1,21,51.01""N"
17,27,32.04;"1,21,51.01""N"
17,27,32.04;"1,21,51.01""N"
14,52,27.4;"0,0,30.9""N"
14,52,27.4;"0,0,30.9""N"
14,52,27.4;"0,0,30.9""N"
15,33,12.24;2,51,15.8
15,33,12.24;2,51,15.8
14,52,13.08;0,53,53.4
14,52,13.08;0,53,53.4
14,52,13.08;0,53,53.4
14,49,28.67;0,53,20.47
14,49,28.67;0,53,20.47
14,49,28.67;0,53,20.47
14,49,28.67;0,53,20.47
14,49,28.67;0,53,20.47
14,49,28.67;0,53,20.47
15,16,11.39;4,16,49.26
15,16,11.39;4,16,49.26
15,16,11.39;4,16,49.26
11,52,9.26;4,45,24.41
11,52,9.26;4,45,24.41
11,52,9.26;4,45,24.41
15,16,25.58;4,13,10.54
15,16,25.58;4,13,10.54
15,16,25.58;4,13,10.54
15,16,25.58;4,13,10.54
15,16,25.58;4,13,10.54
15,16,25.58;4,13,10.54
11,53,59.46;4,47,53.81
